split,representation,censor_policy,feature,bin_center_THz,n,spearman_rho
train,li_shape,half_limit,LiPDOS_049.00_050.00THz,49.5,214,-0.10194094733656246
train,li_shape,half_limit,LiPDOS_050.00_051.00THz,50.5,214,-0.11096049928836961
train,li_shape,half_limit,LiPDOS_051.00_052.00THz,51.5,214,-0.08797318332876677
train,li_shape,half_limit,LiPDOS_052.00_053.00THz,52.5,214,-0.07074977254628918
train,li_shape,half_limit,LiPDOS_053.00_054.00THz,53.5,214,-0.07083063362977499
train,li_shape,half_limit,LiPDOS_054.00_055.00THz,54.5,214,-0.056042814778779274
train,li_shape,half_limit,LiPDOS_055.00_056.00THz,55.5,214,-0.056042814778779274
train,li_shape,half_limit,LiPDOS_056.00_057.00THz,56.5,214,-0.056042814778779274
train,li_shape,half_limit,LiPDOS_086.00_087.00THz,86.5,214,0.043835468985381806
train,li_shape,half_limit,LiPDOS_087.00_088.00THz,87.5,214,0.043835468985381806
train,li_shape,half_limit,LiPDOS_090.00_091.00THz,90.5,214,0.043835468985381806
train,li_shape,half_limit,LiPDOS_091.00_092.00THz,91.5,214,0.043835468985381806
train,li_shape,exclude,LiPDOS_000.00_001.00THz,0.5,191,0.5020684144023115
train,li_shape,exclude,LiPDOS_001.00_002.00THz,1.5,191,0.5712397397379566
train,li_shape,exclude,LiPDOS_002.00_003.00THz,2.5,191,0.5402169682347018
train,li_shape,exclude,LiPDOS_003.00_004.00THz,3.5,191,0.46887475501364884
train,li_shape,exclude,LiPDOS_004.00_005.00THz,4.5,191,0.42404647990910105
train,li_shape,exclude,LiPDOS_005.00_006.00THz,5.5,191,0.48240211629562935
train,li_shape,exclude,LiPDOS_006.00_007.00THz,6.5,191,0.40250896427961386
train,li_shape,exclude,LiPDOS_007.00_008.00THz,7.5,191,0.17789913853487505
train,li_shape,exclude,LiPDOS_008.00_009.00THz,8.5,191,0.09522197996053994
train,li_shape,exclude,LiPDOS_009.00_010.00THz,9.5,191,-0.01657314884671187
train,li_shape,exclude,LiPDOS_010.00_011.00THz,10.5,191,0.07957712034051183
train,li_shape,exclude,LiPDOS_011.00_012.00THz,11.5,191,-0.0999436825419084
train,li_shape,exclude,LiPDOS_012.00_013.00THz,12.5,191,-0.13435036213775192
train,li_shape,exclude,LiPDOS_013.00_014.00THz,13.5,191,-0.1481218664957459
train,li_shape,exclude,LiPDOS_014.00_015.00THz,14.5,191,-0.3542790985176427
train,li_shape,exclude,LiPDOS_015.00_016.00THz,15.5,191,-0.30568997696311345
train,li_shape,exclude,LiPDOS_016.00_017.00THz,16.5,191,-0.21801866642382806
train,li_shape,exclude,LiPDOS_017.00_018.00THz,17.5,191,-0.24232535853861503
train,li_shape,exclude,LiPDOS_018.00_019.00THz,18.5,191,-0.42288839908386183
train,li_shape,exclude,LiPDOS_019.00_020.00THz,19.5,191,-0.3357137243500229
train,li_shape,exclude,LiPDOS_020.00_021.00THz,20.5,191,-0.3705565642602681
